team,division,wins,losses,runs_scored,runs_allowed,actual_win_pct,expected_win_pct,difference,expected_wins,wins_above_expectation
Los Angeles Angels,American League West,72,90,673,837,0.4444,0.3927,0.0518,63.6104,8.3896
Cleveland Guardians,American League Central,88,74,643,649,0.5432,0.4954,0.0479,80.2477,7.7523
Miami Marlins,National League East,79,83,709,798,0.4877,0.4411,0.0465,71.4659,7.5341
Washington Nationals,National League East,66,96,687,899,0.4074,0.3687,0.0387,59.7256,6.2744
Baltimore Orioles,American League East,75,87,677,788,0.4630,0.4247,0.0383,68.7957,6.2043
Toronto Blue Jays,American League East,94,68,798,721,0.5802,0.5506,0.0297,89.1909,4.8091
St. Louis Cardinals,National League Central,78,84,689,754,0.4815,0.4550,0.0264,73.7175,4.2825
Athletics,American League West,76,86,733,817,0.4691,0.4460,0.0232,72.2464,3.7536
Houston Astros,American League West,87,75,686,665,0.5370,0.5155,0.0215,83.5175,3.4825
Colorado Rockies,National League West,43,119,597,1021,0.2654,0.2548,0.0106,41.2755,1.7245
Seattle Mariners,American League West,90,72,766,694,0.5556,0.5492,0.0064,88.9697,1.0303
Philadelphia Phillies,National League East,96,66,778,648,0.5926,0.5904,0.0022,95.6469,0.3531
Minnesota Twins,American League Central,70,92,678,773,0.4321,0.4348,-0.0027,70.4388,-0.4388
Kansas City Royals,American League Central,82,80,651,637,0.5062,0.5109,-0.0047,82.7607,-0.7607
San Diego Padres,National League West,90,72,702,621,0.5556,0.5610,-0.0054,90.8813,-0.8813
Detroit Tigers,American League Central,87,75,758,691,0.5370,0.5461,-0.0091,88.4747,-1.4747
Arizona Diamondbacks,National League West,80,82,791,785,0.4938,0.5038,-0.0100,81.6167,-1.6167
Pittsburgh Pirates,National League Central,71,91,583,645,0.4383,0.4496,-0.0114,72.8416,-1.8416
Cincinnati Reds,National League Central,83,79,716,681,0.5123,0.5250,-0.0127,85.0562,-2.0562
San Francisco Giants,National League West,81,81,705,684,0.5000,0.5151,-0.0151,83.4487,-2.4487
Milwaukee Brewers,National League Central,97,65,806,634,0.5988,0.6178,-0.0190,100.0778,-3.0778
Los Angeles Dodgers,National League West,93,69,825,683,0.5741,0.5933,-0.0193,96.1206,-3.1206
New York Mets,National League East,83,79,766,715,0.5123,0.5344,-0.0220,86.5721,-3.5721
Atlanta Braves,National League East,76,86,724,734,0.4691,0.4931,-0.0240,79.8889,-3.8889
Boston Red Sox,American League East,89,73,786,676,0.5494,0.5748,-0.0254,93.1202,-4.1202
New York Yankees,American League East,94,68,849,685,0.5802,0.6057,-0.0255,98.1237,-4.1237
Chicago Cubs,National League Central,92,70,793,649,0.5679,0.5989,-0.0310,97.0178,-5.0178
Tampa Bay Rays,American League East,77,85,714,683,0.4753,0.5222,-0.0469,84.5931,-7.5931
Texas Rangers,American League West,81,81,684,605,0.5000,0.5611,-0.0611,90.8915,-9.8915
Chicago White Sox,American League Central,60,102,647,742,0.3704,0.4319,-0.0616,69.9717,-9.9717
