year,examples,MARCEL_MAE,BETTER_MAE,improvement
2010,266,0.07860800100073523,0.075494367857162,0.0031136331435732273
2011,265,0.08114195071650629,0.07332783103569165,0.007814119680814635
2012,250,0.07938862995455091,0.07795119236344368,0.0014374375911072323
2013,250,0.08435113723328508,0.0784253793555802,0.005925757877704885
2014,258,0.08994646879833909,0.08196051458053659,0.007985954217802502
2015,269,0.08790198732383156,0.0792736821730186,0.008628305150812962
2016,258,0.09297416527928169,0.09490005377765298,-0.0019258884983712893
2017,250,0.0807897487626365,0.08288637549493152,-0.0020966267322950205
2018,249,0.07847413563703562,0.07231246389031216,0.006161671746723454
2019,240,0.08996257512915101,0.08829877276254945,0.0016638023666015606
